id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
316,Darwin,12,70,837,4,2,2,4,2.8,283.0,212.0,98.0,3.28,0.35,2.0,2.5,47,4,2.5
317,Diogo J.,12,72,624,5,3,4,4,1.6,338.0,239.4,108.1,4.89,0.67,2.5,4.3,60,3,4.3
318,Doak,12,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
319,Elliott,12,52,75,0,1,0,0,1.0,14.0,31.8,59.4,0.07,0.35,0.2,1.3,12,1,1.3
320,Endo,12,46,80,0,0,0,0,0.4,4.0,16.2,16.4,0.00,0.04,0.1,1.0,10,3,1.0
321,Gakpo,12,76,1361,8,4,5,15,5.4,491.0,469.2,399.7,5.40,2.71,23.5,3.9,94,3,3.9
322,Gomez,12,47,517,0,0,1,0,0.0,58.0,130.4,38.5,0.33,0.09,0.4,1.6,14,1,1.6
323,Gravenberch,12,50,2045,0,2,10,1,2.4,77.0,359.2,355.3,0.86,2.71,0.9,2.5,59,3,2.5
324,Jones,12,53,948,3,5,3,4,1.4,301.0,282.8,188.1,3.44,0.49,0.3,3.1,63,1,3.1
325,Kelleher,12,40,720,0,0,3,1,0.0,0.0,196.8,0.0,0.00,0.00,1.2,4.6,37,3,4.6
326,Konaté,12,52,1489,1,2,7,1,4.0,79.0,384.0,110.3,1.03,0.72,7.4,3.7,67,4,3.7
327,Luis Díaz,12,75,1512,8,3,11,10,2.4,588.0,424.8,384.4,6.71,2.08,17.7,4.7,108,1,4.7
328,M.Salah,12,137,2120,22,14,10,42,8.4,1450.0,1175.0,726.8,17.83,5.91,71.6,10.5,251,4,10.5
329,Mac Allister,12,62,1719,2,4,10,3,3.6,259.0,371.4,462.4,2.12,3.54,2.0,3.1,71,1,3.1
330,McConnell,12,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,2,0.0
331,Morton,12,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,3,0.0
332,N.Phillips,12,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,4,0.0
333,Quansah,12,39,225,0,0,0,0,0.0,4.0,59.6,4.8,0.00,0.13,1.3,0.8,4,1,0.8
334,R.Williams,12,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,3,0.0
335,Robertson,12,59,1716,0,0,8,3,2.6,115.0,291.0,520.6,0.50,3.10,4.4,2.9,66,2,2.9
336,Szoboszlai,12,63,1543,3,6,8,8,4.4,404.0,309.2,496.8,5.27,3.61,2.9,3.7,82,3,3.7
337,Tsimikas,12,46,358,0,1,2,1,2.0,23.0,106.6,107.3,0.08,1.05,0.2,2.3,25,3,2.3
339,Virgil,12,64,2160,1,1,10,3,3.2,224.0,553.2,130.9,1.51,0.67,23.0,3.8,91,3,3.8
636,Chiesa,12,68,25,0,0,0,0,0.4,15.0,0.8,1.8,0.16,0.09,0.2,1.0,3,3,1.0
660,Jaros,12,40,11,0,0,0,0,0.0,0.0,8.8,0.0,0.00,0.00,0.1,1.0,1,2,1.0
669,Davies,12,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
688,Nyoni,12,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
692,Nallo,12,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,3,0.0
709,Danns,12,45,10,0,0,0,0,0.2,0.0,0.0,0.3,0.00,0.01,0.0,1.0,1,4,1.0
744,Slot,12,15,0,0,0,0,0,8.3,0.0,0.0,0.0,0.00,0.00,44.8,0.0,25,2,0.0
340,Akanji,13,53,1707,0,0,4,1,2.2,56.0,291.8,231.8,0.70,1.09,2.6,2.2,44,2,2.2
341,Aké,13,53,601,0,0,3,0,0.2,18.0,91.4,20.9,0.22,0.15,0.8,2.7,24,4,2.7
342,Bernardo,13,62,1914,2,4,4,7,1.2,449.0,395.8,568.2,2.82,3.27,2.8,3.1,72,2,3.1
343,Bobb,13,47,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,1,0.0
344,Carson,13,39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.2,0.0,0,3,0.0
345,De Bruyne,13,94,1005,2,8,5,7,5.2,238.0,302.4,585.3,2.54,4.45,4.0,4.2,72,3,4.2
346,Doku,13,62,782,3,4,4,3,3.0,273.0,297.0,274.7,0.77,1.79,1.3,3.9,58,3,3.9
347,Ederson M.,13,53,1350,0,2,3,4,3.8,0.0,352.4,20.0,0.00,0.01,4.6,3.3,49,1,3.3
348,Foden,13,93,1362,7,3,3,10,10.8,393.0,408.2,593.1,4.58,4.76,8.2,4.7,89,4,4.7
349,Grealish,13,64,599,0,1,1,3,0.2,203.0,116.4,291.8,0.78,1.52,0.2,1.7,25,4,1.7
